StudentKey,Student #,Section,Intro to Course and Syllabus Quiz (out of 100),Intro to Course and Syllabus Quiz Due Date,Intro Assignment (out of 100),Intro Assignment Due Date,Master Word Template (out of 115),Master Word Template Due Date,Letterhead Template (out of 170),Letterhead Template Due Date,Resume Assignment (out of 110),Resume Assignment Due Date,Excel Crash Course Quiz (out of 100),Excel Crash Course Quiz Due Date,Mail Merge Assignment (out of 142),Mail Merge Assignment Due Date,Report Template (out of 132),Report Template Due Date,PowerPoint Template (out of 130),Powerpoint Template Due Date,Datasets and Tables Assignment (out of 100),Datasets and Tables Assignment Due Date,Summarizing and Analyzing Data Assignment (out of 100),Summarizing and Analyzing Data Assignment  Due Date,Excel Recap Assignment (out of 124),Excel Recap Assignment Due Date,Specialized Functions 1 Assignment (out of 100),Specialized Functions 1 Assignment  Due Date,Excel Model (out of 155),Excel Model Due Date,MOS Day 1 GMetrix Assignment (out of 100),MOS Day 1 GMetrix Assignment  Due Date,MOS Day 2 Additional Practice Assignment (out of 75),MOS Day 2 Additional Practice Assignment  Due Date,Word Wrap-Up Quiz (out of 100),Word Wrap-Up Quiz  Due Date,PowerPoint Wrap-Up Quiz (out of 100),PowerPoint Wrap-Up Quiz  Due Date,Excel Crash Course Assignment (out of 100),Excel Crash Course Assignment  Due Date,Formulas and Functions Assignment (out of 100),Formulas and Functions Assignment  Due date,Prelim 1 (out of 100),Prelim 1 Due Date,Excel Analysis Assignment (out of 180),Excel Analysis Assignment Due Date,Certiport Account Creation Assignment (out of 100),Certiport Account Creation Assignment  Due Date,Prelim 2 (out of 100),Prelim 2 Due Date,Final Exam (out of 100),Final Exam Due Date,Final Score,Term
1,1,FA23,100,"Monday, August 21, 2023",100,"Monday, August 21, 2023",95.7,"Wednesday, August 23, 2023",100,"Monday, August 28, 2023",100,30-Aug-23,100,"Wednesday, September 27, 2023",100,30-Aug-23,100,13-Sep-23,100,18-Sep-23,100,15-Oct-23,100,18-Oct-23,100,30-Oct-23,100,25-Oct-23,100,4-Dec-23,100,6-Nov-23,96,13-Nov-23,85,13-Sep-23,90,20-Sep-23,100,27-Sep-23,90,11-Oct-23,87,28-Sep-23,87.8,21-Oct-23,100,13-Nov-23,91.8,11/7/2023,95,12/10/2023,95.6,Fall2023
2,2,FA23,94.1,"Monday, August 21, 2023",100,"Monday, August 21, 2023",100,"Wednesday, August 23, 2023",100,"Monday, August 28, 2023",100,30-Aug-23,95,"Wednesday, September 27, 2023",100,30-Aug-23,100,13-Sep-23,97.7,18-Sep-23,100,15-Oct-23,95,18-Oct-23,91.9,30-Oct-23,100,25-Oct-23,93.5,4-Dec-23,100,6-Nov-23,88,13-Nov-23,95,13-Sep-23,100,20-Sep-23,100,27-Sep-23,87.5,11-Oct-23,87,28-Sep-23,95.6,21-Oct-23,100,13-Nov-23,96.7,11/7/2023,95,12/10/2023,97.13,Fall2023
3,3,FA23,94.1,"Monday, August 21, 2023",100,"Monday, August 21, 2023",92.2,"Wednesday, August 23, 2023",100,"Monday, August 28, 2023",93.6,30-Aug-23,70,"Wednesday, September 27, 2023",100,30-Aug-23,97.7,13-Sep-23,96.2,18-Sep-23,93,15-Oct-23,89,18-Oct-23,94.4,30-Oct-23,89.5,25-Oct-23,100,4-Dec-23,100,6-Nov-23,88,13-Nov-23,70,13-Sep-23,100,20-Sep-23,100,27-Sep-23,82.5,11-Oct-23,60,28-Sep-23,84.2,21-Oct-23,100,13-Nov-23,88.5,11/7/2023,90,12/10/2023,92.13,Fall2023
4,4,FA23,100,"Monday, August 21, 2023",100,"Monday, August 21, 2023",100,"Wednesday, August 23, 2023",100,"Monday, August 28, 2023",99.1,30-Aug-23,90,"Wednesday, September 27, 2023",100,30-Aug-23,100,13-Sep-23,100,18-Sep-23,92.4,15-Oct-23,98,18-Oct-23,96.8,30-Oct-23,0,25-Oct-23,95.5,4-Dec-23,100,6-Nov-23,92,13-Nov-23,85,13-Sep-23,95,20-Sep-23,100,27-Sep-23,100,11-Oct-23,100,28-Sep-23,96.7,21-Oct-23,100,13-Nov-23,100,11/7/2023,96,12/10/2023,95.33,Fall2023
5,5,FA23,94.1,"Monday, August 21, 2023",100,"Monday, August 21, 2023",100,"Wednesday, August 23, 2023",100,"Monday, August 28, 2023",100,30-Aug-23,75,"Wednesday, September 27, 2023",100,30-Aug-23,97,13-Sep-23,88.5,18-Sep-23,90,15-Oct-23,90.5,18-Oct-23,87.9,30-Oct-23,0,25-Oct-23,96.8,4-Dec-23,100,6-Nov-23,86.7,13-Nov-23,90,13-Sep-23,90,20-Sep-23,100,27-Sep-23,100,11-Oct-23,84,28-Sep-23,81.1,21-Oct-23,100,13-Nov-23,95.8,11/7/2023,95,12/10/2023,91.69,Fall2023
6,6,FA23,94.1,"Monday, August 21, 2023",100,"Monday, August 21, 2023",100,"Wednesday, August 23, 2023",99.4,"Monday, August 28, 2023",99.1,30-Aug-23,90,"Wednesday, September 27, 2023",100,30-Aug-23,100,13-Sep-23,88.5,18-Sep-23,92.5,15-Oct-23,96,18-Oct-23,96,30-Oct-23,85.5,25-Oct-23,87.1,4-Dec-23,100,6-Nov-23,96,13-Nov-23,85,13-Sep-23,95,20-Sep-23,100,27-Sep-23,90,11-Oct-23,81,28-Sep-23,96.7,21-Oct-23,100,13-Nov-23,97,11/7/2023,95,12/10/2023,95.51,Fall2023
7,7,FA23,88.2,"Monday, August 21, 2023",100,"Monday, August 21, 2023",100,"Wednesday, August 23, 2023",98.8,"Monday, August 28, 2023",98.2,30-Aug-23,85,"Wednesday, September 27, 2023",100,30-Aug-23,93.2,13-Sep-23,100,18-Sep-23,89.5,15-Oct-23,0,18-Oct-23,100,30-Oct-23,0,25-Oct-23,92.3,4-Dec-23,100,6-Nov-23,85.3,13-Nov-23,0,13-Sep-23,100,20-Sep-23,100,27-Sep-23,92.5,11-Oct-23,60,28-Sep-23,74.2,21-Oct-23,100,13-Nov-23,84.1,11/7/2023,89,12/10/2023,84.23,Fall2023
8,8,FA23,94.1,"Monday, August 21, 2023",100,"Monday, August 21, 2023",98.3,"Wednesday, August 23, 2023",100,"Monday, August 28, 2023",98.2,30-Aug-23,90,"Wednesday, September 27, 2023",85.9,30-Aug-23,97,13-Sep-23,88.5,18-Sep-23,82,15-Oct-23,93.5,18-Oct-23,80.6,30-Oct-23,86.3,25-Oct-23,98.1,4-Dec-23,100,6-Nov-23,97.3,13-Nov-23,85,13-Sep-23,95,20-Sep-23,100,27-Sep-23,97.5,11-Oct-23,78,28-Sep-23,72.8,21-Oct-23,100,13-Nov-23,75.8,11/7/2023,98,12/10/2023,88.94,Fall2023
9,9,FA23,94.1,"Monday, August 21, 2023",100,"Monday, August 21, 2023",96.5,"Wednesday, August 23, 2023",84.1,"Monday, August 28, 2023",99.1,30-Aug-23,85,"Wednesday, September 27, 2023",95.8,30-Aug-23,62.9,13-Sep-23,74.6,18-Sep-23,82,15-Oct-23,86.5,18-Oct-23,75,30-Oct-23,46.4,25-Oct-23,96.8,4-Dec-23,100,6-Nov-23,90.7,13-Nov-23,85,13-Sep-23,90,20-Sep-23,100,27-Sep-23,100,11-Oct-23,60,28-Sep-23,62.2,21-Oct-23,100,13-Nov-23,40,11/7/2023,78,12/10/2023,85.09,Fall2023
10,10,FA23,100,"Monday, August 21, 2023",100,"Monday, August 21, 2023",100,"Wednesday, August 23, 2023",100,"Monday, August 28, 2023",97.3,30-Aug-23,90,"Wednesday, September 27, 2023",93,30-Aug-23,99.2,13-Sep-23,100,18-Sep-23,97,15-Oct-23,97.5,18-Oct-23,98.4,30-Oct-23,89.5,25-Oct-23,96.8,4-Dec-23,100,6-Nov-23,80,13-Nov-23,90,13-Sep-23,95,20-Sep-23,100,27-Sep-23,100,11-Oct-23,69,28-Sep-23,95.6,21-Oct-23,100,13-Nov-23,81.6,11/7/2023,94,12/10/2023,93.98,Fall2023
